job_title,publish,company,city,description,link,website,date,search_title
Data Analyst / Scientist (m/w/d),vor 4 Tagen,eWolff GmbH,Bielefeld,"Finde Deine Rolle und verstärke unser Team Data Analytics als Data Analyst / Scientist (m/w/d) Data-Driven? * Science, BWL/VWL, MINT oder ähnliches studiert",https://www.stepstone.de/stellenangebote--Data-Analyst-Scientist-m-w-d-Bielefeld-eWolff-GmbH--8228787-inline.html,stepstone,2022-11-16,Data_Analyst
IT Inhouse Consultant Business Intelligence / Data Analyst (m/w/d),vor 1 Woche,Wilhelm Böllhoff GmbH & Co. KG,Bielefeld,Zur Stärkung unseres Unternehmensbereiches Wilhelm Böllhoff GmbH & Co. KG suchen wir für unseren Hauptsitz in Bielefeld Sie als IT Inhouse Consultant Business Intelligence / (m/w/d),https://www.stepstone.de/stellenangebote--IT-Inhouse-Consultant-Business-Intelligence-Data-Analyst-m-w-d-Bielefeld-Wilhelm-Boellhoff-GmbH-Co-KG--8891819-inline.html,stepstone,2022-11-16,Data_Analyst
Data / Business Analyst (m/w/d),vor 4 Tagen,eWolff GmbH,Bielefeld,"Finde Deine Rolle und verstärke unser Team Data Analytics als Data / Business Analyst (m/w/d) Data-Driven? * BWL/VWL, Science, Wirtschaftsinformatik oder ein verwandtes Fachgebiet studiert",https://www.stepstone.de/stellenangebote--Data-Business-Analyst-m-w-d-Bielefeld-eWolff-GmbH--8227460-inline.html,stepstone,2022-11-16,Data_Analyst
Data Scientist / Analyst - Web (m/w/d),vor 2 Wochen,Neue Westfälische GmbH & Co. KG,Bielefeld,Wir suchen nach einem Data Analyst/Data Scientist (m/w/d) mit dem Fokus auf unsere Website.,https://www.stepstone.de/stellenangebote--Data-Scientist-Analyst-Web-m-w-d-Bielefeld-Neue-Westfaelische-GmbH-Co-KG--8866842-inline.html,stepstone,2022-11-16,Data_Analyst
Consultant Data Analyst (m/w/d),vor 1 Woche,Arvato Systems GmbH,Gütersloh,"Und darum suchen wir dich als Consultant Data Analyst (m/w/d) für unseren Standort in Gütersloh mit der Möglichkeit remote zu arbeiten. * Du konzipierst Laderoutinen und Datenmodelle für die zentrale Microsoft SQL-Server -Warehouse Umgebung und entwickelst diese eigenverantwortlich weiter * Idealerweise verfügst du bereits über Berufserfahrung im Umfeld Analytics * Dein Wissen in relationalen Datenbanken (Microsoft SQL-Server) und -Warehouse Konzepten zur Aufbereitung und Historisierung von Daten zeichnen dich aus * Du kannst dich auf umfangreiche und vielfältige Weiterbildungsmöglichkeiten freuen, um deine und Agile Skills weiter auszubauen",https://www.stepstone.de/stellenangebote--Consultant-Data-Analyst-m-w-d-Guetersloh-Arvato-Systems-GmbH--8788053-inline.html,stepstone,2022-11-16,Data_Analyst
"(Junior) Consultant (w/m/d) IT Prozesse, Big Data und Compliance",vor 2 Tagen,KPMG AG Wirtschaftsprüfungsgesellschaft,"Leipzig, Bielefeld, Dresden, Bremen, Freiburg, Essen, Mainz, Karlsruhe, Dortmund, Regensburg","Als (Junior) Consultant (w/m/d) IT Prozesse, Big Data und Compliance prüfst Du die Systeme unserer Kunden und Kundinnen und bewertest deren IT gestützte Geschäftsprozesse. * Als (Junior) Consultant (w/m/d) für IT Prozesse, Big und Compliance prüfst Du die Einhaltung von Anforderungen im IT-Compliance- und IT Governance-Umfeld und berätst unsere Kund:innen bei der Umsetzung der Regularien. Internet of Things (IoT), Big SAP, Industrie 4.0, IT-Revision, IT Audit oder Robotics sind keine Fremdwörter für Dich.",https://www.stepstone.de/stellenangebote--Junior-Consultant-w-m-d-IT-Prozesse-Big-Data-und-Compliance-Leipzig-Bielefeld-Dresden-Bremen-Freiburg-Essen-Mainz-Karlsruhe-Dortmund-Regensburg-KPMG-AG-Wirtschaftspruefungsgesellschaft--8905503-inline.html,stepstone,2022-11-16,Data_Analyst
Junior Berater*in Prozess- und Datenintegration,vor 5 Tagen,NTT DATA Business Solutions AG,"Berlin, Bielefeld, Dortmund, Göttingen, Hamburg, Heidelberg, Jena, Köln, München ...und weitere","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern.",https://www.stepstone.de/stellenangebote--Junior-Beraterin-Prozess-und-Datenintegration-Berlin-Bielefeld-Dortmund-Goettingen-Hamburg-Heidelberg-Jena-Koeln-Muenchen-und-weitere-NTT-DATA-Business-Solutions-AG--8090946-inline.html,stepstone,2022-11-16,Data_Analyst
Data Scientist (m/w/d),vor 1 Woche,CONTACT Software GmbH,"Home-Office oder Bremen, Berlin, Paderborn, Duisburg, Köln, Frankfurt, Karlsruhe, Augsburg, München","CONTACT Software GmbH * Home-Office oder Bremen, Berlin, Paderborn, Duisburg, Köln, Frankfurt, Karlsruhe, Augsburg, München * Feste Anstellung * Home Office möglich,Vollzeit - CONTACT Software verbindet Menschen, Unternehmen und Systeme - Als führender Softwarehersteller für innovative Produktentstehungsprozesse und die digitale Transformation haben wir einen modularen Software-Baukasten auf Basis einer offenen Technologieplattform geschaffen, mit dem unsere weltweiten Kunden als internationale Marktführer ihre Produktdaten in agilen Prozessen und kollaborativen Projekten effizienter nutzen. Seit über 30 Jahren entwickeln und implementieren wir smarte Softwarelösungen, die moderne IT-Systeme mit dem Internet der Dinge (IoT) verbinden. Mehr als 350 kreative Köpfe an über zehn Standorten und ein internationales Partnernetzwerk arbeiten täglich daran, unsere Angebote und",https://www.stepstone.de/stellenangebote--Data-Scientist-m-w-d-Home-Office-oder-Bremen-Berlin-Paderborn-Duisburg-Koeln-Frankfurt-Karlsruhe-Augsburg-Muenchen-CONTACT-Software-GmbH--8869313-inline.html,stepstone,2022-11-16,Data_Analyst
Data Scientist (m/w/d),vor 2 Wochen,FERCHAU GmbH,Bielefeld,"Planung, Konzeption, Umsetzung und Wartung von Lösungen in den Bereichen Big Data und Data Science",https://www.stepstone.de/stellenangebote--Data-Scientist-m-w-d-Bielefeld-FERCHAU-GmbH--7838347-inline.html,stepstone,2022-11-16,Data_Analyst
Trainee/Management Associate Risk & Data to the Chief Risk Officer (m/w/d),vor 4 Tagen,Riverty GmbH,Verl,"Wir suchen Kolleg_innen, die Lust haben mitzugestalten und genau hinzuschauen - egal ob Berufseinsteigende, IT-Expert_innen, _innen, Sachbearbeiter_innen, Führungskräfte oder Quereinsteigende. Trainee/Management Associate Risk & to the Chief Risk Officer (m/w/d) * Du arbeitest eng mit hief Risk Officer und seinen Teams an der Umsetzung der Unternehmensstrategie, insbesondere mit dem Fokus auf Risk & Analytics Themen. * Du lernst unsere Geschäftsprozesse immer besser kennen, gemeinsam mit den Teams aus den verschiedenen Risk-Einheiten (Customer Risk, Risk Governance, & Analytics and Client Underwriting) arbeitest Du an deren Weiterentwicklung und Optimierung unserer Risk Unit, um unsere Business Units bestmöglichst zu unterstützen. * Du verfügst über ein überdurchschnittlich",https://www.stepstone.de/stellenangebote--Trainee-Management-Associate-Risk-Data-to-the-Chief-Risk-Officer-m-w-d-Verl-Riverty-GmbH--8596146-inline.html,stepstone,2022-11-16,Data_Analyst
